actual,pred,alive,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
1,1,0.76,Other,0,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.0869565217391304,0
1,1,0.848,Other,0,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.020066889632107,0
1,1,0.523,Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0535117056856187,0
1,0,0.315,Other,1,Other,280.0,Other,0,1,1,1,1,0,0,0,0,0,0.103678929765886,0
0,1,0.784,Other,1,Other,268.0,Other,0,1,1,1,0,0,1,0,0,0,0.130434782608695,1
1,1,0.99,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0100334448160535,0
0,0,0.358,Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0100334448160535,1
1,1,0.759,Other,1,Other,235.0,Other,0,1,1,1,1,0,1,0,0,0,0.147157190635451,0
1,0,0.37,Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.0367892976588628,0
0,0,0.033,Other,1,Other,268.0,Other,0,0,0,0,0,0,0,9,1,1,0.501672240802675,1
1,1,0.955,Other,0,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0066889632107023,0
1,1,0.879,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0167224080267558,0
1,1,0.998,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0033444816053511,0
1,1,0.884,Other,0,Other,268.0,Other,0,1,1,1,1,0,0,0,0,1,0.745819397993311,0
1,1,0.758,Other,0,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0869565217391304,0
0,0,0.047,Other,0,Other,268.0,Other,0,1,1,0,1,0,0,0,0,0,0.0535117056856187,1
0,1,0.584,Other,1,Other,279.0,Other,1,1,1,1,1,0,0,0,0,0,0.120401337792642,1
1,1,0.718,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0234113712374581,0
1,1,0.988,Other,0,Other,268.0,Other,0,1,0,1,0,0,0,0,0,0,0.020066889632107,0
1,0,0.074,Other,0,Other,268.0,Other,0,0,0,1,0,1,1,0,0,0,0.0434782608695652,0
1,1,0.769,Other,0,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0066889632107023,0
1,1,0.847,Other,1,Other,268.0,Other,1,1,1,1,1,1,1,0,0,0,0.0802675585284281,0
1,1,0.753,Other,0,Other,268.0,Other,0,1,1,1,0,0,1,0,0,0,0.0836120401337792,0
0,0,0.193,Other,1,Other,278.0,Other,0,1,0,0,1,0,1,0,0,0,0.0635451505016722,1
1,1,0.968,Other,1,Other,268.0,Other,0,1,1,1,0,0,0,0,0,0,0.0234113712374581,0
1,1,0.998,Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0066889632107023,0
1,1,0.765,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0066889632107023,0
1,1,0.707,Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.170568561872909,0
0,0,0.486,Other,1,Other,268.0,Other,1,1,1,1,0,0,1,0,0,0,0.0367892976588628,1
1,1,0.737,Other,1,Other,268.0,Other,0,0,1,1,0,0,1,0,0,0,0.0267558528428093,0
1,0,0.194,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0267558528428093,0
1,0,0.472,Other,1,Other,268.0,Other,0,0,1,1,1,1,0,0,0,0,0.0267558528428093,0
1,1,0.986,Other,1,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0033444816053511,0
1,1,0.947,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.020066889632107,0
1,1,0.796,Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0234113712374581,0
0,1,0.973,Other,1,Other,172.0,Other,0,0,0,1,1,1,1,4,1,0,0.210702341137123,1
1,1,0.988,Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
1,1,0.969,Other,0,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.020066889632107,0
1,1,0.724,Other,1,Other,296.0,Other,0,1,0,0,0,0,0,0,0,0,0.0167224080267558,0
1,0,0.31,Other,1,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0267558528428093,0
0,0,0.106,Other,1,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0334448160535117,1
1,1,0.666,Other,1,Other,268.0,Other,1,0,1,1,0,0,0,0,0,0,0.130434782608695,0
0,1,0.805,Other,0,Other,268.0,Other,1,1,1,1,0,0,0,0,0,0,0.267558528428093,1
0,0,0.002,Other,1,Other,170.0,Other,0,0,1,0,0,1,1,3,1,1,0.474916387959866,1
1,0,0.201,Other,1,Other,268.0,Other,0,0,0,0,1,0,1,0,0,0,0.123745819397993,0
1,1,0.829,Other,0,Other,268.0,Other,0,1,0,1,0,0,0,1,1,0,0.020066889632107,0
0,1,0.532,Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0267558528428093,1
1,1,0.81,Other,0,Other,268.0,Other,0,0,1,1,0,1,0,0,0,0,0.0367892976588628,0
0,0,0.463,Other,1,Other,258.0,Other,1,1,1,1,1,1,1,0,0,0,0.247491638795986,1
1,1,0.923,Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.127090301003344,0
0,0,0.005,Other,0,Other,172.0,Other,0,0,0,0,1,1,1,10,1,0,0.0936454849498327,1
1,0,0.494,Other,1,Other,268.0,Other,0,0,1,1,1,0,1,0,0,0,0.0468227424749163,0
1,1,0.538,Other,0,Other,268.0,Other,1,1,1,1,1,0,0,0,0,0,0.0301003344481605,0
1,1,0.752,Other,0,Other,268.0,Other,0,1,1,1,1,0,0,0,0,0,0.127090301003344,0
0,0,0.152,Other,1,Other,246.0,Other,1,1,1,1,1,1,1,1,1,0,0.170568561872909,1
1,0,0.381,Other,0,Other,289.0,Other,1,1,1,1,1,0,1,4,1,0,0.23076923076923,0
1,0,0.135,Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.167224080267558,0
1,1,0.983,Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0066889632107023,0
0,1,0.65,Other,1,Other,285.0,Other,0,0,1,0,0,0,0,0,0,0,0.0100334448160535,1
1,1,0.984,Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0100334448160535,0
1,1,0.724,Other,0,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0066889632107023,0
0,0,0.004,Other,0,Other,116.0,Other,0,0,0,0,0,1,1,0,0,0,0.1438127090301,1
1,1,0.781,Other,0,Other,268.0,Other,1,1,1,1,1,1,0,0,0,0,0.177257525083612,0
1,1,0.795,Other,0,Other,268.0,Other,0,1,1,1,0,1,0,0,0,0,0.0501672240802675,0
1,0,0.304,Other,1,Other,268.0,Other,0,0,1,1,1,0,1,0,0,0,0.214046822742474,0
0,0,0.323,Other,0,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0033444816053511,1
1,1,0.765,Other,0,Other,276.0,Other,0,0,1,1,1,1,0,0,0,0,0.113712374581939,0
1,1,0.774,Other,0,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0167224080267558,0
1,1,0.747,Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0267558528428093,0
1,1,0.848,Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.0066889632107023,0
1,1,0.864,Other,1,Other,286.0,Other,0,1,1,1,1,0,0,0,0,0,0.113712374581939,0
1,1,0.994,Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0033444816053511,0
1,1,0.818,Other,0,Other,298.0,Other,0,1,1,1,1,1,1,0,0,0,0.113712374581939,0
1,1,0.718,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0066889632107023,0
0,0,0.05,Other,0,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.277591973244147,1
1,1,0.988,Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
1,1,0.761,Other,0,Other,279.0,Other,1,1,1,1,1,0,0,0,0,0,0.120401337792642,0
1,1,0.598,Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0133779264214046,0
1,0,0.152,Other,0,Other,268.0,Other,1,0,1,1,1,0,1,0,0,0,0.0301003344481605,0
0,1,0.538,Other,1,Other,268.0,Other,0,1,0,0,0,1,1,0,0,0,0.11705685618729,1
0,1,0.935,Other,0,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0167224080267558,1
0,0,0.445,Other,1,Other,263.0,Other,1,1,1,1,1,1,1,6,1,1,1.0,1
1,1,0.702,Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0033444816053511,0
0,0,0.21,Other,1,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.0334448160535117,1
1,1,0.773,Other,1,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.0066889632107023,0
0,1,0.747,Other,0,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0334448160535117,1
1,1,0.988,Other,0,Other,268.0,Other,0,0,0,1,1,0,0,0,0,0,0.020066889632107,0
1,1,0.983,Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.0133779264214046,0
